problem size,num_proc,runtime
50000000,1,19.778209
50000000,1,19.995544
50000000,1,19.800334
50000000,1,19.427774
50000000,1,19.502400
50000000,1,19.484503
50000000,1,19.460827
50000000,1,19.674997
50000000,1,19.530500
50000000,1,19.595942
60000000,1,23.497369
60000000,1,23.675425
60000000,1,23.767815
60000000,1,23.390175
60000000,1,23.407187
60000000,1,23.533339
60000000,1,23.665199
60000000,1,23.669629
60000000,1,23.537685
60000000,1,23.579366
70000000,1,27.916351
70000000,1,28.220146
70000000,1,27.563461
70000000,1,27.709235
70000000,1,28.446265
70000000,1,29.260137
70000000,1,27.779368
70000000,1,28.125343
70000000,1,27.861268
70000000,1,28.062956
80000000,1,32.221041
80000000,1,32.070118
80000000,1,32.311488
80000000,1,31.603013
80000000,1,32.189597
80000000,1,32.699639
80000000,1,32.589741
80000000,1,32.093473
80000000,1,32.373043
80000000,1,31.805897
90000000,1,36.045869
90000000,1,36.268236
90000000,1,35.919712
90000000,1,37.103947
90000000,1,36.189686
90000000,1,36.650605
90000000,1,36.249690
90000000,1,36.159988
90000000,1,36.705013
90000000,1,36.884504
100000000,1,40.482035
100000000,1,40.719506
100000000,1,40.632886
100000000,1,40.254551
100000000,1,40.575548
100000000,1,40.763074
100000000,1,41.328334
100000000,1,40.409381
100000000,1,40.826831
100000000,1,40.608296
50000000,2,10.071690
50000000,2,9.980686
50000000,2,10.030519
50000000,2,10.112346
50000000,2,10.059096
50000000,2,9.910653
50000000,2,10.278775
50000000,2,10.002097
50000000,2,10.125754
50000000,2,10.409551
60000000,2,12.065052
60000000,2,12.060002
60000000,2,12.176998
60000000,2,12.193192
60000000,2,12.225397
60000000,2,12.164081
60000000,2,12.255785
60000000,2,12.170934
60000000,2,12.166825
60000000,2,12.400617
70000000,2,14.176303
70000000,2,14.374455
70000000,2,14.219715
70000000,2,14.365321
70000000,2,14.295165
70000000,2,14.605937
70000000,2,14.532027
70000000,2,14.459643
70000000,2,14.705196
70000000,2,14.455236
80000000,2,16.483309
80000000,2,16.278329
80000000,2,16.464225
80000000,2,16.451760
80000000,2,16.496805
80000000,2,16.563107
80000000,2,16.450208
80000000,2,16.631565
80000000,2,16.548267
80000000,2,16.322340
90000000,2,18.828803
90000000,2,18.633307
90000000,2,18.487732
90000000,2,18.305534
90000000,2,19.074981
90000000,2,18.663404
90000000,2,18.879641
90000000,2,18.476740
90000000,2,18.898552
90000000,2,18.833815
100000000,2,21.096706
100000000,2,20.700543
100000000,2,20.782721
100000000,2,20.771597
100000000,2,20.713119
100000000,2,20.693392
100000000,2,20.741553
100000000,2,20.776929
100000000,2,20.975556
100000000,2,20.646056
50000000,4,5.364510
50000000,4,5.478467
50000000,4,5.389021
50000000,4,5.265327
50000000,4,5.520752
50000000,4,5.394196
50000000,4,5.748715
50000000,4,5.454068
50000000,4,5.471102
50000000,4,5.295958
60000000,4,6.497784
60000000,4,6.546903
60000000,4,6.906233
60000000,4,6.459241
60000000,4,6.711101
60000000,4,6.838411
60000000,4,6.875249
60000000,4,6.493739
60000000,4,6.613062
60000000,4,6.534091
70000000,4,7.521599
70000000,4,7.722621
70000000,4,7.632950
70000000,4,7.734145
70000000,4,7.808371
70000000,4,7.711524
70000000,4,7.709324
70000000,4,7.611116
70000000,4,8.157911
70000000,4,7.760202
80000000,4,8.709460
80000000,4,9.225881
80000000,4,8.634319
80000000,4,8.805533
80000000,4,9.060215
80000000,4,8.776723
80000000,4,8.812640
80000000,4,8.926748
80000000,4,9.253904
80000000,4,8.981627
90000000,4,10.653016
90000000,4,10.098515
90000000,4,10.106757
90000000,4,9.997629
90000000,4,9.998288
90000000,4,9.908313
90000000,4,10.094514
90000000,4,9.807625
90000000,4,9.973204
90000000,4,9.809670
100000000,4,11.290708
100000000,4,11.144804
100000000,4,11.043116
100000000,4,11.191829
100000000,4,11.124328
100000000,4,11.113928
100000000,4,11.163269
100000000,4,11.547969
100000000,4,11.071492
100000000,4,11.240531
50000000,8,3.618100
50000000,8,3.466769
50000000,8,3.329036
50000000,8,3.446188
50000000,8,3.545321
50000000,8,3.464472
50000000,8,3.514875
50000000,8,3.299093
50000000,8,3.396292
50000000,8,3.486403
60000000,8,4.003781
60000000,8,4.001169
60000000,8,4.802697
60000000,8,4.492449
60000000,8,4.165910
60000000,8,4.007699
60000000,8,4.245601
60000000,8,3.990051
60000000,8,4.178418
60000000,8,4.062017
70000000,8,4.997440
70000000,8,4.876719
70000000,8,4.991669
70000000,8,5.047761
70000000,8,5.138262
70000000,8,4.920460
70000000,8,4.919311
70000000,8,4.770286
70000000,8,4.793930
70000000,8,4.843517
80000000,8,5.523826
80000000,8,5.601828
80000000,8,5.946389
80000000,8,6.021948
80000000,8,5.778735
80000000,8,5.375971
80000000,8,5.256247
80000000,8,5.535850
80000000,8,5.395286
80000000,8,5.679928
90000000,8,6.833552
90000000,8,6.223675
90000000,8,6.288689
90000000,8,6.446266
90000000,8,6.736560
90000000,8,6.462058
90000000,8,6.173270
90000000,8,5.952047
90000000,8,5.922653
90000000,8,6.252758
100000000,8,7.198963
100000000,8,7.123816
100000000,8,7.167600
100000000,8,6.782439
100000000,8,6.562675
100000000,8,7.365717
100000000,8,6.886726
100000000,8,7.120293
100000000,8,7.161859
100000000,8,6.569195
50000000,10,2.996197
50000000,10,3.334366
50000000,10,3.081923
50000000,10,2.977388
50000000,10,3.134931
50000000,10,3.456432
50000000,10,3.145413
50000000,10,3.025151
50000000,10,2.985429
50000000,10,3.360588
60000000,10,3.652973
60000000,10,3.699850
60000000,10,3.694907
60000000,10,3.712519
60000000,10,4.105625
60000000,10,3.631828
60000000,10,3.575703
60000000,10,4.066892
60000000,10,3.437036
60000000,10,4.407623
70000000,10,4.484650
70000000,10,4.370090
70000000,10,4.314131
70000000,10,4.671943
70000000,10,4.815289
70000000,10,4.334254
70000000,10,4.707253
70000000,10,4.178023
70000000,10,4.487847
70000000,10,4.023358
80000000,10,5.096277
80000000,10,4.753707
80000000,10,4.963206
80000000,10,5.731439
80000000,10,5.295877
80000000,10,4.954728
80000000,10,4.903057
80000000,10,5.193069
80000000,10,5.153679
80000000,10,5.608930
90000000,10,5.489110
90000000,10,5.418361
90000000,10,5.576624
90000000,10,5.566903
90000000,10,6.006088
90000000,10,5.753794
90000000,10,5.940150
90000000,10,5.526588
90000000,10,5.339170
90000000,10,5.627776
100000000,10,6.315541
100000000,10,6.055393
100000000,10,6.103158
100000000,10,6.414739
100000000,10,6.095086
100000000,10,6.029087
100000000,10,6.751242
100000000,10,6.249574
100000000,10,6.061957
100000000,10,6.101832
50000000,12,2.833299
50000000,12,3.212107
50000000,12,2.840880
50000000,12,2.970976
50000000,12,3.147784
50000000,12,2.929638
50000000,12,2.823680
50000000,12,3.043900
50000000,12,3.385940
50000000,12,3.169039
60000000,12,3.444854
60000000,12,3.551885
60000000,12,4.296662
60000000,12,3.717877
60000000,12,3.692595
60000000,12,3.395341
60000000,12,3.324262
60000000,12,3.438132
60000000,12,3.520890
60000000,12,3.584914
70000000,12,3.815744
70000000,12,4.256311
70000000,12,4.067752
70000000,12,4.044817
70000000,12,4.212101
70000000,12,4.495328
70000000,12,4.555196
70000000,12,3.916258
70000000,12,4.123215
70000000,12,4.378777
80000000,12,4.702232
80000000,12,5.716491
80000000,12,4.734502
80000000,12,5.282299
80000000,12,5.475985
80000000,12,5.065436
80000000,12,4.769838
80000000,12,5.026075
80000000,12,4.541076
80000000,12,5.120295
90000000,12,5.160531
90000000,12,5.414194
90000000,12,5.119051
90000000,12,5.501199
90000000,12,5.583963
90000000,12,5.074215
90000000,12,5.478284
90000000,12,5.265552
90000000,12,5.301141
90000000,12,5.116895
100000000,12,5.893735
100000000,12,5.627951
100000000,12,6.085486
100000000,12,5.866950
100000000,12,6.088184
100000000,12,6.130754
100000000,12,5.525654
100000000,12,5.771657
100000000,12,6.350531
100000000,12,5.681560
50000000,14,2.878727
50000000,14,2.818319
50000000,14,3.013107
50000000,14,2.891197
50000000,14,2.874056
50000000,14,2.652960
50000000,14,3.073730
50000000,14,3.160982
50000000,14,2.576645
50000000,14,2.541763
60000000,14,3.204670
60000000,14,3.414441
60000000,14,3.552008
60000000,14,3.455818
60000000,14,2.850048
60000000,14,3.897415
60000000,14,3.918618
60000000,14,3.898430
60000000,14,3.309909
60000000,14,3.171036
70000000,14,3.728600
70000000,14,4.122965
70000000,14,3.770896
70000000,14,3.960295
70000000,14,3.915453
70000000,14,4.232767
70000000,14,3.858482
70000000,14,3.736778
70000000,14,4.779594
70000000,14,4.122771
80000000,14,4.254351
80000000,14,4.364044
80000000,14,4.715155
80000000,14,4.532641
80000000,14,4.165483
80000000,14,4.265350
80000000,14,4.756778
80000000,14,4.961888
80000000,14,4.612263
80000000,14,5.733631
90000000,14,5.126309
90000000,14,5.494153
90000000,14,5.444617
90000000,14,4.959698
90000000,14,5.587149
90000000,14,4.841739
90000000,14,4.837099
90000000,14,4.806461
90000000,14,4.905534
90000000,14,5.393146
100000000,14,6.623702
100000000,14,5.631948
100000000,14,5.711990
100000000,14,6.429926
100000000,14,5.454234
100000000,14,5.445205
100000000,14,5.753294
100000000,14,5.681975
100000000,14,5.372044
100000000,14,6.340681
50000000,15,2.518924
50000000,15,3.132556
50000000,15,2.724587
50000000,15,2.665903
50000000,15,2.810783
50000000,15,2.977091
50000000,15,2.485116
50000000,15,2.567601
50000000,15,2.621330
50000000,15,2.586255
60000000,15,3.253776
60000000,15,3.200251
60000000,15,3.553829
60000000,15,3.236677
60000000,15,3.498521
60000000,15,3.465919
60000000,15,3.410704
60000000,15,3.786484
60000000,15,3.609698
60000000,15,2.885196
70000000,15,3.871526
70000000,15,3.767979
70000000,15,3.967008
70000000,15,4.223290
70000000,15,3.709022
